Stream,IQScore,CareerOutcome
Commerce,118.04748095529304,Data Science
Arts,130.44852604973335,Data Science
Science,107.86817518772972,Psychology
Arts,105.82055253339398,Teaching
Commerce,100.26101820499937,Writing/Author
Commerce,106.40048587003137,Psychology
Science,125.30975421288396,Data Science
Commerce,87.85876855425084,Writing/Author
Science,112.30341970338763,Social Work
Arts,115.19752007092062,Engineering
Science,108.64014069684484,Writing/Author
Arts,119.75321680773743,Computer Science
Commerce,125.71971447759465,Engineering
Science,125.67801705094813,Research Scientist
Arts,109.14207570144985,Social Work
Arts,106.48474457225306,Psychology
Science,112.95627209994619,Writing/Author
Commerce,119.32546158619911,Research Scientist
Commerce,116.44723010791722,Research Scientist
Arts,98.91058641388108,Psychology
Commerce,111.75360214543801,Social Work
Arts,113.95378549737096,Psychology
Commerce,116.11762131311112,Engineering
Arts,109.19306901563814,Social Work
Arts,102.73373003908719,Psychology
Arts,132.53068400313785,Research Scientist
Science,122.02825436456988,Engineering
Commerce,142.28822434445524,Engineering
Arts,118.61992889974856,Computer Science
Science,120.5819067087611,Research Scientist
Science,123.72832240616164,Research Scientist
Commerce,106.28011186845613,Psychology
Science,122.78387010361665,Data Science
Science,123.45707165339446,Research Scientist
Commerce,135.3220543764878,Computer Science
Commerce,124.60263074866185,Computer Science
Science,118.10531907962792,Research Scientist
Arts,112.9747598662883,Teaching
Commerce,117.61950464148357,Data Science
Arts,108.72908078097957,Teaching
Commerce,101.25695094296462,Teaching
Commerce,102.28661355834484,Writing/Author
Arts,107.13973379605014,Teaching
Commerce,113.59890740976472,Psychology
Science,125.84711438673168,Engineering
Science,121.53956826850424,Computer Science
Arts,119.87414551339656,Research Scientist
Science,117.27888702079413,Engineering
Commerce,118.13967802449082,Data Science
Arts,128.31624508211542,Research Scientist
Commerce,100.21998460688579,Writing/Author
Science,106.89288599960021,Social Work
Science,115.13090295945636,Engineering
Science,129.0400904993541,Data Science
Commerce,123.3079934410951,Computer Science
Commerce,120.91101575102667,Research Scientist
Science,105.63970359226028,Social Work
Science,101.26964074041986,Psychology
Science,104.51002144240573,Writing/Author
Commerce,100.3792490232223,Psychology
Science,110.05373612598524,Social Work
Arts,101.85350681143285,Psychology
Arts,120.69972867363019,Data Science
Science,117.31324524523542,Research Scientist
Arts,132.29994642751745,Data Science
Science,111.58747864339057,Teaching
Arts,110.78412539495436,Writing/Author
Science,110.89086569258805,Writing/Author
Science,116.58242109892639,Data Science
Arts,118.27080958279834,Computer Science
Science,102.67784623346463,Writing/Author
Science,105.71849606212274,Psychology
Commerce,113.54532896984102,Social Work
Arts,108.04838472731846,Writing/Author
Commerce,109.07204828181031,Writing/Author
Science,108.72716639471267,Social Work
Arts,116.50213451241702,Computer Science
Arts,112.5605442253296,Psychology
Commerce,127.00038955233693,Research Scientist
Arts,134.40986810328963,Research Scientist
Arts,113.53847120521488,Psychology
Commerce,110.96183821900438,Teaching
Commerce,108.98896472799957,Teaching
Commerce,118.63767488600057,Engineering
Commerce,104.59096118267396,Writing/Author
Science,113.91991754662453,Writing/Author
Science,115.82748383829184,Engineering
Commerce,113.73149341948924,Teaching
Commerce,117.99939822443281,Computer Science
Science,114.83402925246645,Teaching
Commerce,129.4295554342703,Research Scientist
Science,101.11148050123106,Teaching
Arts,119.56405501549737,Data Science
Science,121.80323887734767,Engineering
Commerce,111.43183850504674,Writing/Author
Commerce,117.84324918318609,Computer Science
Arts,108.81897384588035,Teaching
Commerce,113.19350549857624,Writing/Author
Science,124.41562509869767,Computer Science
Science,109.31561286344451,Writing/Author
Science,103.67926235021619,Writing/Author
Science,105.1718579890372,Social Work
Commerce,109.10185833263282,Psychology
Science,120.08855712054792,Computer Science
Science,137.58119238071794,Research Scientist
Arts,110.21059288629243,Writing/Author
Science,113.58709298675996,Psychology
Science,142.45252910589863,Engineering
Commerce,102.66207218252237,Writing/Author
Science,91.67442938001287,Writing/Author
Commerce,127.33585372111351,Research Scientist
Commerce,124.84915733697933,Computer Science
Commerce,107.37721385681249,Psychology
Commerce,113.02490266745274,Psychology
Science,99.89700579800896,Writing/Author
Science,127.47714432836432,Engineering
Arts,98.9454563310304,Teaching
Commerce,135.9937504004502,Engineering
Commerce,101.47976548487328,Social Work
Science,108.76287650973235,Teaching
Commerce,113.3231079342075,Writing/Author
Science,112.47721141800402,Teaching
Science,118.75226585607376,Data Science
Arts,107.10597526867396,Psychology
Commerce,113.33493988616587,Social Work
Commerce,113.60160875301577,Writing/Author
Arts,104.78818541416278,Psychology
Science,113.81440871971202,Psychology
Arts,143.1438546802263,Engineering
Arts,107.99793530392803,Teaching
Arts,120.11926966322109,Computer Science
Arts,110.00648794038976,Teaching
Commerce,112.22112260749772,Social Work
Arts,107.90116907319218,Psychology
Arts,131.17889590517683,Data Science
Commerce,108.62781064900743,Writing/Author
Science,102.40597367436195,Social Work
Commerce,127.41549803830458,Engineering
Science,127.7642946601192,Data Science
Commerce,108.82974952988386,Psychology
Arts,110.99114017261849,Teaching
Science,120.18892824994403,Research Scientist
Science,118.2461192490262,Research Scientist
Arts,112.9522017143136,Teaching
Science,134.9851596714803,Data Science
Commerce,110.10557825496792,Teaching
Science,112.4651448579806,Psychology
Arts,110.089555073566,Teaching
Commerce,109.91744063051551,Writing/Author
Arts,100.25559648956438,Psychology
Science,106.28669772662737,Teaching
Commerce,127.16294496584062,Engineering
Commerce,117.91499670273203,Research Scientist
Arts,129.6165376972975,Computer Science
Science,104.20798385188965,Teaching
Science,125.8984444090151,Engineering
Arts,112.62232206988084,Teaching
Science,117.91475636928472,Data Science
Arts,119.38405192126201,Data Science
Arts,100.6574209311078,Psychology
Science,113.41258079246197,Psychology
Arts,130.28074985146824,Data Science
Arts,83.54309834406823,Writing/Author
Commerce,114.66107259248872,Teaching
Arts,111.67739754848476,Social Work
Arts,97.81263535561067,Social Work
Commerce,124.47662061690974,Research Scientist
Commerce,122.70251843950078,Data Science
Arts,114.43100416502676,Psychology
Science,104.94978961639225,Writing/Author
Science,116.80232665681808,Engineering
Commerce,107.66854051443703,Teaching
Science,97.0227043711611,Psychology
Science,116.50792064464353,Data Science
Commerce,128.96411575894967,Research Scientist
Arts,101.749645974918,Teaching
Science,106.75049673332177,Teaching
Commerce,105.11678703475835,Psychology
Commerce,118.60876341795621,Data Science
Science,95.03551698184538,Teaching
Arts,107.8956628204119,Social Work
Commerce,115.22005084391492,Data Science
Arts,124.01624690023047,Engineering
Science,123.18922974527372,Computer Science
Arts,132.2094448892793,Data Science
Commerce,135.71685672877743,Research Scientist
Science,129.42007854072435,Computer Science
Arts,99.13888898654699,Teaching
Commerce,131.06161204348268,Engineering
Commerce,121.93002657581239,Data Science
Arts,122.58669630386521,Data Science
Arts,107.63250308026912,Social Work
Science,123.81013949063015,Data Science
Arts,107.36116123331388,Psychology
Arts,107.49884553655589,Psychology
Science,108.64840754889448,Writing/Author
Arts,113.08941349457979,Social Work
Arts,123.15622484731809,Engineering
Arts,109.25578362271315,Psychology
Commerce,115.50595911374319,Data Science
Science,128.88258091785622,Research Scientist
Commerce,107.85122419909302,Social Work
Commerce,125.58503016266354,Data Science
Commerce,117.1058661149101,Computer Science
Arts,88.80889805746483,Psychology
Science,138.00296926181517,Engineering
Arts,96.10413727219003,Teaching
Commerce,118.35462546527873,Engineering
Science,107.16403948698166,Writing/Author
Commerce,114.24281379250152,Teaching
Commerce,119.24503261001134,Engineering
Arts,125.48689700307928,Engineering
Science,113.80932499328351,Psychology
Arts,129.8934449340533,Engineering
Science,131.68187744851838,Computer Science
Arts,104.6546089384235,Psychology
Arts,123.27820110838417,Computer Science
Science,120.49549983300348,Data Science
Science,110.01961089477602,Social Work
Commerce,96.05135265849857,Teaching
Commerce,119.09218632228244,Computer Science
Science,123.88116759219682,Data Science
Science,124.76124375706567,Data Science
Commerce,79.94650262985895,Social Work
Commerce,112.920718909307,Social Work
Commerce,120.11332295104042,Computer Science
Commerce,112.34602458765929,Writing/Author
Science,125.96827622385496,Computer Science
Science,111.54504505534753,Teaching
Arts,117.53864777019501,Data Science
Science,112.49746307149482,Writing/Author
Commerce,111.44945534090101,Teaching
Arts,123.73019450748342,Engineering
Science,126.10541987029032,Research Scientist
Commerce,118.74396708709727,Data Science
Science,106.40560487190602,Psychology
Commerce,119.44986933914575,Engineering
Science,117.63179389912446,Research Scientist
Science,112.54251056875022,Psychology
Arts,95.17936001851817,Writing/Author
Arts,124.73555854382552,Data Science
Arts,128.69952831243822,Computer Science
Commerce,99.51283981485658,Social Work
Science,127.58061195669694,Engineering
Science,102.250958186527,Writing/Author
Science,119.25769619984794,Data Science
Commerce,114.95473339797398,Teaching
Commerce,120.1743348294983,Data Science
Science,98.59416064785216,Psychology
Commerce,105.1636412247778,Writing/Author
Commerce,112.22323396681735,Psychology
Arts,131.14226171708316,Engineering
Science,125.20041490560607,Computer Science
Commerce,106.85712057847273,Social Work
Commerce,124.16353787423871,Data Science
Arts,122.83181429016113,Computer Science
Arts,125.6510083579543,Engineering
Science,101.58527092416386,Teaching
Science,117.60891326171514,Data Science
Science,98.77616666429341,Writing/Author
Science,108.14914363340385,Psychology
Commerce,119.04556481390611,Computer Science
Science,118.59085936009298,Data Science
Commerce,117.21492203946413,Engineering
Commerce,117.36379104360533,Data Science
Science,111.74624104361732,Social Work
Arts,136.38182331987983,Research Scientist
Commerce,85.46794564928753,Psychology
Science,102.71609382625321,Teaching
Arts,113.82583780469476,Teaching
Arts,110.11950491365137,Teaching
Science,107.3882461135468,Teaching
Commerce,112.42391894774995,Teaching
Commerce,112.67643709145165,Psychology
Commerce,119.20709533752114,Engineering
Science,102.92765452006817,Psychology
Commerce,115.44905660758832,Computer Science
Science,115.28287333926494,Data Science
Arts,121.5312891653977,Engineering
Commerce,121.15449713878162,Engineering
Commerce,111.9694731258751,Psychology
Science,111.65588070362173,Writing/Author
Commerce,103.26745988278944,Writing/Author
Commerce,118.82462030496656,Data Science
Science,105.37863013792345,Writing/Author
Science,128.45166572836368,Engineering
Commerce,118.72184149855643,Research Scientist
Science,114.85274402760251,Writing/Author
Arts,111.5413295960515,Teaching
Science,121.59470419282893,Computer Science
Arts,112.53765031847989,Social Work
Science,108.96505861902094,Social Work
Arts,118.9149436700602,Data Science
Science,108.89421238301422,Social Work
Commerce,135.51102546741387,Computer Science
Science,97.68135732995137,Psychology
Arts,107.40577243216472,Teaching
Commerce,115.1254073367783,Data Science
Commerce,109.25206856799029,Social Work
Arts,100.23714337089369,Writing/Author
Arts,104.47976081140831,Psychology
Science,110.4973275943506,Writing/Author
Arts,98.20278809926353,Teaching
Arts,119.94057569784601,Data Science
Science,113.22972896889884,Writing/Author
Science,115.35202872693603,Computer Science
Arts,125.85773947671171,Research Scientist
Commerce,113.12938333513209,Writing/Author
Commerce,127.55857646825689,Data Science
Science,114.5162202226593,Psychology
Science,123.44533424516229,Data Science
Arts,114.37122281795476,Psychology
Arts,118.23371262176603,Computer Science
Arts,110.49416546551383,Teaching
Commerce,119.6509437119961,Data Science
Science,120.91057774426699,Data Science
Arts,119.29545231246011,Engineering
Commerce,130.82375813511447,Engineering
Arts,118.08774597957641,Engineering
Commerce,133.22828119292603,Computer Science
Commerce,133.6188524299442,Engineering
Commerce,119.28300288044846,Engineering
Science,108.45658192909362,Teaching
Arts,137.25878172815663,Engineering
Commerce,118.26768748731376,Data Science
Science,108.33148250863465,Psychology
Science,135.9748305563907,Computer Science
Commerce,133.00031617326027,Computer Science
Science,109.38213792670864,Teaching
Arts,109.24131109456826,Psychology
Science,115.04437015472521,Computer Science
Science,122.57309235166451,Research Scientist
Arts,129.6076565223581,Research Scientist
Arts,124.19999035622375,Data Science
Commerce,112.88781027402895,Psychology
Arts,111.58456445950577,Writing/Author
Commerce,121.0978831334863,Computer Science
Science,123.36371547497765,Engineering
Commerce,124.51106490719118,Data Science
Science,109.61693807669867,Writing/Author
Commerce,133.67161731300837,Data Science
Arts,115.73805410895025,Engineering
Arts,128.43259200535144,Research Scientist
Science,109.52928396995925,Writing/Author
Arts,103.50256200096652,Social Work
Arts,92.17266214980037,Teaching
Arts,117.24967582840185,Data Science
Commerce,123.42306865771138,Computer Science
Arts,107.80139431465041,Writing/Author
Commerce,130.09883128457307,Data Science
Science,114.36649610226763,Writing/Author
Commerce,115.5950751285175,Research Scientist
Arts,124.28910310615332,Engineering
Commerce,101.48119907502631,Social Work
Commerce,126.51839063242876,Data Science
Arts,123.14891387580668,Data Science
Commerce,105.47729627764609,Social Work
Science,109.65204653016465,Writing/Author
Arts,118.22877860362912,Engineering
Commerce,122.06205399333655,Computer Science
Arts,131.36719178044544,Research Scientist
Arts,119.10790231479734,Data Science
Arts,101.51204281395485,Social Work
Arts,100.10355720683684,Social Work
Commerce,110.30064469314313,Psychology
Science,116.84817224552144,Data Science
Science,109.4775678353303,Writing/Author
Science,123.0062305724123,Data Science
Commerce,120.33074596900232,Engineering
Commerce,116.30323056507754,Computer Science
Science,116.00902465497585,Engineering
Science,121.05357728596223,Data Science
Science,108.45052130688396,Social Work
Science,111.80937003841349,Psychology
Science,100.02621796352246,Psychology
Arts,117.37891288915694,Computer Science
Commerce,120.71762639196848,Computer Science
Commerce,128.32510899262965,Data Science
Commerce,87.66444246390975,Writing/Author
Science,104.6149620266922,Psychology
Commerce,110.82407170316324,Writing/Author
Arts,110.83304751736053,Teaching
Commerce,105.50999693412365,Psychology
Commerce,117.2776971950957,Engineering
Commerce,118.42598937503614,Engineering
Science,128.11293266759512,Engineering
Arts,118.15606110199828,Engineering
Arts,137.51179339783542,Computer Science
Arts,114.30627595499158,Writing/Author
Science,121.16494359855383,Research Scientist
Commerce,124.8518816400781,Computer Science
Science,105.01488240319301,Writing/Author
Science,126.47896515960095,Research Scientist
Arts,114.0582311224532,Psychology
Arts,116.44704034430141,Data Science
Arts,116.95614641639597,Research Scientist
Commerce,105.53829819275299,Teaching
Science,109.83137646380919,Writing/Author
Science,111.70334610849682,Psychology
Arts,136.7193504050305,Engineering
Science,128.35533338858977,Research Scientist
Science,136.7853729593251,Research Scientist
Arts,107.94804028890111,Writing/Author
Commerce,112.05730499647137,Teaching
Science,113.52581382639762,Teaching
Commerce,118.09458438112621,Research Scientist
Science,120.31347848751652,Data Science
Arts,103.73508752602787,Teaching
Science,124.00796411304782,Research Scientist
Science,110.59626915775169,Psychology
Science,118.99080153624054,Computer Science
Science,113.92927494737468,Social Work
Science,101.42106852458801,Writing/Author
Arts,129.13578019945942,Computer Science
Commerce,114.31144669026146,Social Work
Science,97.88505990814868,Teaching
Science,100.64024550001213,Psychology
Science,124.16414933632481,Data Science
Commerce,119.3840298997111,Data Science
Arts,130.3649128276241,Research Scientist
Science,121.86482303179227,Research Scientist
Science,104.76193173423795,Writing/Author
Arts,94.0237411073216,Teaching
Arts,108.44671727524768,Social Work
Science,112.19771349097455,Psychology
Arts,126.7580961213996,Research Scientist
Science,120.54343745149916,Engineering
Arts,110.93213709279219,Writing/Author
Arts,120.09945254116153,Data Science
Arts,107.95795848889998,Writing/Author
Arts,120.40953606250942,Research Scientist
Science,123.38727778789013,Research Scientist
Commerce,114.86008777307012,Psychology
Commerce,123.98584099034122,Data Science
Arts,110.84460109882119,Writing/Author
Science,118.61297406824407,Research Scientist
Science,112.47716294152887,Teaching
Arts,109.58360821615152,Teaching
Commerce,119.60715658333937,Engineering
Science,108.47436158781633,Teaching
Science,116.64715288583514,Engineering
Commerce,118.87147495960212,Research Scientist
Science,127.06852611441752,Research Scientist
Science,122.1691865833027,Engineering
Science,130.24117901019596,Data Science
Commerce,112.21352089091968,Psychology
Science,119.50867183645246,Engineering
Science,131.21993792785332,Research Scientist
Arts,118.39469616908927,Engineering
Science,114.72445969693823,Psychology
Science,120.56212614778462,Computer Science
Science,117.9231845174943,Research Scientist
Commerce,129.49586139186812,Engineering
Science,121.6267587291866,Data Science
Science,130.08340700531204,Computer Science
Commerce,118.81650556366765,Research Scientist
Science,101.25451957931433,Social Work
Science,113.45574955169411,Psychology
Arts,128.83469355124595,Computer Science
Arts,94.28450013665508,Teaching
Commerce,113.86254699148682,Social Work
Arts,118.34534595215965,Computer Science
Commerce,113.68151562326227,Psychology
Arts,117.26969220104502,Research Scientist
Arts,119.93484548435582,Data Science
Science,118.8221001271444,Data Science
Arts,107.21535885184885,Social Work
Arts,118.15839085405224,Research Scientist
Arts,128.51916186031087,Data Science
Arts,125.55678210193697,Computer Science
Commerce,109.7718515199664,Teaching
Arts,128.26666019156025,Data Science
Arts,118.38988516743098,Data Science
Commerce,121.26130957583493,Engineering
Commerce,120.5621872642642,Research Scientist
Arts,134.00279980509072,Research Scientist
Science,101.15699975700865,Teaching
Commerce,109.42890465868004,Teaching
Science,115.7608514745491,Engineering
Arts,109.15019044529097,Writing/Author
Science,127.92298453725942,Research Scientist
Science,123.81657853052748,Computer Science
Science,115.73739400500035,Research Scientist
Science,114.4059947289651,Teaching
Science,104.77309415742914,Writing/Author
Science,117.64605070611766,Computer Science
Science,118.4290294785787,Engineering
Arts,116.84098605550473,Engineering
Science,109.98407882336203,Social Work
Arts,114.51672378269328,Writing/Author
Commerce,105.04485756445729,Psychology
Science,106.7961026751189,Teaching
Commerce,117.20072222218103,Engineering
Science,119.45473265041639,Computer Science
Science,119.53916117990433,Research Scientist
Science,115.02361091045366,Research Scientist
Commerce,97.57115891937491,Social Work
Science,119.4973885599886,Research Scientist
Arts,111.69673061662348,Teaching
Commerce,114.7299187268892,Psychology
Commerce,111.23377835316109,Social Work
Arts,105.58645085482621,Writing/Author
Commerce,130.46943775632928,Engineering
Science,122.30251211748416,Computer Science
Science,105.49102939910685,Psychology
Science,91.52547301404124,Teaching
Science,121.94429469965431,Research Scientist
Arts,122.24349993400108,Engineering
Arts,108.66840680739584,Social Work
Science,102.70599999987243,Teaching
Arts,106.79701741038335,Psychology
Science,103.85237799403896,Social Work
Arts,111.26638960096145,Teaching
Arts,131.4757270905439,Research Scientist
Arts,104.50789096482899,Psychology
Arts,115.7886981439759,Research Scientist
Commerce,112.09241115947539,Social Work
Arts,119.41977274273398,Research Scientist
Commerce,109.07997475725979,Teaching
Arts,122.49712287741343,Engineering
Arts,113.03087298713403,Teaching
Science,102.26017308380466,Teaching
Science,122.85519911930362,Data Science
Commerce,129.7342234376394,Computer Science
Commerce,111.50410976932278,Writing/Author
Commerce,109.71696405555485,Psychology
Commerce,105.8072661511071,Psychology
Science,119.35470087952673,Research Scientist
Science,109.91156665428238,Teaching
Science,112.53172308802576,Writing/Author
Commerce,112.93410580009888,Social Work
Arts,93.02667502322434,Psychology
Arts,130.85125583318984,Engineering
Commerce,119.0101775647056,Data Science
Commerce,130.31745195012974,Data Science
Arts,103.44908776828274,Teaching
Commerce,115.25672501912634,Data Science
Arts,112.225037243003,Social Work
Arts,133.62589663024,Engineering
Commerce,112.47743954513786,Psychology
Arts,132.2729953196381,Data Science
Arts,108.9425021371871,Psychology
Commerce,122.14691103553396,Engineering
Arts,108.0276075701034,Psychology
Science,100.13237938746245,Social Work
Science,131.6916058129645,Research Scientist
Commerce,128.44583622954303,Research Scientist
Commerce,121.58565814707529,Computer Science
Science,125.8767472415318,Research Scientist
Science,106.6607035184442,Psychology
Science,107.03128466138045,Psychology
Science,108.8249591593234,Psychology
Commerce,111.64101154292435,Teaching
Science,116.71390967463682,Data Science
Commerce,115.66110058762615,Research Scientist
Arts,114.99255921675146,Writing/Author
Arts,112.83915833820585,Social Work
Science,111.84823528409059,Psychology
Commerce,124.17044773481267,Engineering
Science,129.54063482684637,Data Science
Science,113.38485829941246,Psychology
Science,103.46795204543727,Social Work
Science,115.44553491564832,Computer Science
Science,121.43008280826764,Data Science
Arts,96.97769307491143,Psychology
Science,101.32161399850037,Social Work
Commerce,104.82317608703937,Social Work
Arts,110.37408725262068,Social Work
Science,117.50805706477054,Data Science
Commerce,105.85314650455209,Teaching
Science,109.45746144461133,Teaching
Science,127.30423145096623,Research Scientist
Science,110.86761001199733,Social Work
Arts,131.6460990368569,Computer Science
Science,110.59501659480554,Writing/Author
Science,113.0291590085338,Psychology
Science,111.04439687400252,Teaching
Science,116.07839861924252,Research Scientist
Commerce,102.93695587770526,Psychology
Arts,111.37641057419296,Social Work
Commerce,121.61516849543106,Engineering
Arts,109.66057168552929,Writing/Author
Science,109.9285356366076,Writing/Author
Arts,103.48002011448835,Psychology
Commerce,103.73274751321757,Psychology
Arts,123.47188756924776,Engineering
Arts,101.96868709716213,Social Work
Science,116.83646961828386,Research Scientist
Commerce,115.14095345292122,Research Scientist
Commerce,117.89905393228061,Computer Science
Science,102.16295910869661,Social Work
Science,130.3741084942307,Computer Science
Science,124.69344165430631,Research Scientist
Arts,115.26359976964041,Research Scientist
Science,110.53405046278668,Psychology
Commerce,99.19105758347457,Psychology
Arts,122.76744629663692,Computer Science
Science,114.82756273920785,Teaching
Commerce,132.36361928955088,Computer Science
Commerce,99.80964922854871,Writing/Author
Science,108.36596957738315,Writing/Author
Arts,120.79594003824397,Computer Science
Commerce,111.95312416643964,Social Work
Science,102.16335107633151,Psychology
Commerce,99.21748609684207,Writing/Author
Science,112.96145088863923,Social Work
Arts,97.30680094789344,Teaching
Arts,120.27108912507313,Research Scientist
Arts,111.54137403679026,Writing/Author
Arts,125.55529533322895,Engineering
Commerce,104.6766989630459,Teaching
Commerce,110.30486027697263,Social Work
Science,111.08228932258551,Psychology
Arts,109.36490580511618,Psychology
Arts,100.67722649069353,Psychology
Science,131.11311039726203,Engineering
Arts,105.57840406008248,Writing/Author
Science,113.58381618761581,Psychology
Commerce,117.1453364023423,Engineering
Arts,104.30032378577252,Social Work
Arts,130.15432412601265,Engineering
Science,111.63496756237359,Social Work
Science,115.22805670397173,Engineering
Science,116.53506723303839,Computer Science
Arts,120.63791793998982,Engineering
Commerce,99.50048394326288,Social Work
Commerce,118.34202765633435,Research Scientist
Commerce,115.11812860744868,Research Scientist
Science,126.95414159938521,Data Science
Science,121.8238031895772,Research Scientist
Science,105.82334990262189,Psychology
Arts,110.98314867875732,Writing/Author
Arts,128.49352300146936,Computer Science
Science,105.04667427025922,Psychology
Arts,109.71685685306159,Writing/Author
Commerce,105.58764440295882,Social Work
Commerce,105.86936179505302,Teaching
Science,115.7609612402033,Data Science
Arts,109.1528524262774,Writing/Author
Arts,121.46158012177271,Engineering
Science,105.43394895299593,Writing/Author
Arts,112.52378498005237,Teaching
Commerce,113.21390382912283,Writing/Author
Commerce,110.5845349925218,Social Work
Arts,136.12272539668191,Research Scientist
Arts,104.90935375180545,Psychology
Commerce,126.00004735918071,Data Science
Science,115.0825535202648,Research Scientist
Science,104.79593999322631,Teaching
Commerce,126.93042778194283,Computer Science
Commerce,115.89874562324204,Computer Science
Commerce,103.42426541296642,Teaching
Commerce,120.72882560351405,Computer Science
Arts,119.06579295619113,Computer Science
Arts,111.45113568895624,Writing/Author
Arts,115.35625303802091,Data Science
Science,113.92629307849523,Psychology
Commerce,134.80937141448183,Computer Science
Arts,120.91530165516899,Research Scientist
Science,111.28504360217438,Writing/Author
Commerce,110.05064543938059,Writing/Author
Arts,120.87341974633729,Research Scientist
Science,116.41865276781235,Data Science
Commerce,121.3724172641208,Computer Science
Commerce,123.35605254631827,Research Scientist
Arts,146.69084074814475,Engineering
Science,128.89666419593914,Engineering
Commerce,106.12960733200522,Writing/Author
Commerce,105.60283192218031,Writing/Author
Commerce,127.91009212971903,Computer Science
Arts,99.78626560876943,Teaching
Science,107.49066674687353,Social Work
Science,140.16067986085787,Computer Science
Commerce,98.98727567389935,Teaching
Science,130.8770440401857,Computer Science
Science,114.2125604513081,Social Work
Commerce,122.37050119108082,Research Scientist
Arts,110.4904360487293,Psychology
Commerce,114.84929592823343,Teaching
Science,119.10063388631244,Research Scientist
Arts,121.88986196268574,Computer Science
Commerce,106.16452038882315,Writing/Author
Commerce,102.25552571889727,Social Work
Commerce,113.26482183299878,Teaching
Science,105.52987648912745,Social Work
Commerce,108.38502018173659,Teaching
Commerce,120.18616555189513,Engineering
Science,136.5552627212458,Data Science
Science,130.87477340360255,Engineering
Science,115.1531051661069,Engineering
Arts,112.8749006252088,Teaching
Science,129.2650541533099,Engineering
Science,116.43655115442073,Research Scientist
Arts,116.12464211269307,Research Scientist
Science,116.21709344735393,Data Science
Science,129.16488234804382,Research Scientist
Commerce,110.51798767683596,Writing/Author
Arts,111.49283589695531,Writing/Author
Commerce,126.10720394453055,Data Science
Commerce,130.30167616930967,Research Scientist
Arts,116.98774623448911,Data Science
Science,115.39144823859672,Research Scientist
Commerce,117.34122851891028,Computer Science
Commerce,106.27949873267963,Psychology
Commerce,120.7139200167239,Computer Science
Arts,111.398925748736,Teaching
Science,115.40652449677998,Data Science
Commerce,115.67196108516588,Computer Science
